#名前,#animname,モデルハンドル,type,index,攻撃力,moveTimeRate,moveSpeedXZ,moveSpeedY,nextLightAttack,nextHeavyAttack,ノックバックするXZ,ノックバックするY,きりもみ吹っ飛びか,seFrameRate,seName,attackColStart,attackColEnd
#備考,#,"0:通常モデル,1:攻撃モデル",type:0=弱攻撃、1=強攻撃,,,,,,nextAttack:,セミコロン区切り(;),#空中の上下差のある攻撃は,当たった瞬間の移動量で,、ふっとびではない,なければ空欄,,当たり判定ON開始(進行率),当たり判定ON終了(進行率)
地上弱攻撃1,Player|Attack1,1,0,0,50,0.1,50,0,1,7,0,0,0,0.06,airSlash,0.4,0.8
地上弱攻撃2,Player|Attack2,1,0,1,50,0.15,35,0,2,,0,0,0,0.06,airSlash,0.4,0.8
地上弱攻撃3,Player|Attack3,1,0,2,50,0.15,35,0,3,,0,0,0,0.16,airSlash,0.4,0.8
地上弱攻撃4,Player|Attack4,1,0,3,50,0.15,35,0,4,,0,0,0,0.13,airSlash,0.4,0.8
地上弱攻撃5,Player|Attack5,1,0,4,50,0.4,15,0,,,15,25,1,0.2,airSlash,0.4,0.8
#強攻撃,,,,,,,,,,,,,,,,,
地上強攻撃1,Player|HeavyAttack1,0,1,5,50,0.3,10,0,,6,0,0,0,0.2,airSlash,0.4,0.8
地上強攻撃2,Player|HeavyAttack2,0,1,6,50,0.2,25,0,,,30,20,1,0.35,airSlash,0.4,0.8
#連携技,,,,,,,,,,,,,,,,,
切り上げ攻撃,Player|upAttack,0,1,7,50,0.2,0,40,8,12,0,40,0,0.35,airSlash,0.4,0.8
#空中弱攻撃,,,,,,,,,,,,,,,,,
空中弱攻撃1,Player|AirAttack1,0,0,8,50,0.2,24,0,9,12,0,0,0,0.25,airSlash,0.4,0.8
空中弱攻撃2,Player|AirAttack2,0,0,9,50,0.2,30,0,10,12,0,0,0,0.06,airSlash,0.4,0.8
空中弱攻撃3,Player|AirAttack3,0,0,10,50,0.2,20,0,11,12,0,0,0,0.06,airSlash,0.4,0.8
空中弱攻撃4,Player|AirAttack4,0,0,11,50,0.2,0,-20,,,0,-40,1,0.06,airSlash,0.4,0.8
#空中強攻撃,,,,,,,,,,,,,,,,,
空中強攻撃1,Player|HeavyAttack2,0,1,12,50,0.2,0,-20,,,0,-40,0,0.06,airSlash,0.4,0.8
ダッシュ攻撃,,0,0,13,50,0.4,10,0,,,15,10,1,0.06,airSlash,0.4,0.8
#スキル攻撃,,,,,,,,,,,,,,,,,
スキル弱1,Player|Skil1,1,0,14,120,0.25,35,0,15,,0,0,0,0.06,airSlash,0.4,0.8
スキル弱2,Player|Skil2,1,0,15,120,0.2,15,0,16,,0,0,0,0.06,airSlash,0.4,0.8
スキル弱3,Player|Skil3,1,0,16,120,0.2,15,0,,,20,20,1,0.06,airSlash,0.4,0.8
