#key,animName
Idle,Player|Idle_SB
Walk,Player|Jog_SB
Run,Player|RunSmp
kWalkLikeNightAnim,Player|Walk_SB
kAttackAnim,Player|MainAttack1
kAttackAnim2,Player|MainAttack2
kAttackAnim3,Player|MainAttack3
kAttackAnim4,Player|MainAttack4
kAttackAnim5,Player|MainAttack5
kHeavyAttackAnim,Player|SubAttack1
kHeavyAttack2Anim,Player|SubAttack2
kHeavyAttack3Anim,Player|SubAttack3
AvoidBack,Player|AvoidBack
AvoidForward,Player|AvoidForward
kDamageAnim,Player|Hit1
Parry,Player|SubAttackCharge
DashAttack,Player|MainAttack5
